390,7.94227,1.75699,0.32031,2.0,0.1,12.560332775115967
390,7.85678,1.6719,0.39062,3.0,0.1,16.015055179595947
780,6.45771,1.86126,0.25,2.0,0.1,27.05757975578308
1170,5.29933,1.91609,0.22656,2.0,0.1,38.798914432525635
1170,5.15463,1.77139,0.30469,2.0,0.1,37.392762422561646
1950,3.19623,1.33611,0.53906,2.0,0.1,59.60137152671814
2340,2.64627,1.24946,0.58594,2.0,0.1,65.20491242408752
2340,2.70954,1.31272,0.58594,3.0,0.1,70.0719347000122
2730,2.30426,1.24624,0.53125,2.0,0.1,80.79032921791077
3120,2.03691,1.2159,0.54688,2.0,0.1,91.27261066436768
3510,1.75112,1.10761,0.63281,2.0,0.1,100.35419988632202
3900,1.90137,1.38433,0.51562,1.0,0.1,107.16881370544434
4290,1.4554,1.03002,0.64844,2.0,0.1,117.65814304351807
4680,1.74004,1.38001,0.5625,2.0,0.1,132.97723603248596
5460,1.32824,0.90262,0.71875,1.0,0.1,148.58244562149048
5850,1.43026,1.06561,0.67969,2.0,0.1,159.12057995796204
5850,1.27736,0.91271,0.67969,2.0,0.1,162.58863949775696
6240,1.28701,0.97076,0.65625,2.0,0.1,173.45329976081848
6630,1.33564,1.0523,0.64844,2.0,0.1,183.75730299949646
6630,1.26148,0.97818,0.64062,2.0,0.1,180.30598282814026
7410,1.24117,0.99411,0.70312,2.0,0.1,204.50934600830078
7410,1.23118,0.98412,0.71094,2.0,0.1,201.06195521354675
7800,1.16657,0.92831,0.66406,2.0,0.1,216.69495296478271
8190,1.05583,0.82199,0.71875,2.0,0.1,225.80635929107666
8580,1.13424,0.90254,0.66406,1.0,0.1,236.22096943855286
8580,1.30049,1.06879,0.66406,1.0,0.1,237.6308252811432
8970,0.96246,0.73288,0.74219,2.0,0.1,246.98418974876404
9360,1.09016,0.85569,0.70312,2.0,0.1,253.81435179710388
9360,0.96802,0.73361,0.73438,2.0,0.1,258.6825911998749
9750,0.88211,0.6498,0.73438,2.0,0.1,268.1533203125
10140,1.42794,1.19497,0.60156,2.0,0.1,278.50706791877747
12090,0.91741,0.67757,0.78125,2.0,0.1,328.7662162780762
12480,0.89941,0.65784,0.78906,2.0,0.1,339.0911843776703
12870,1.0322,0.78747,0.75,2.0,0.1,345.96908164024353
13260,0.88164,0.63797,0.74219,2.0,0.1,359.8274779319763
13650,1.01408,0.76713,0.73438,2.0,0.1,371.6317753791809
14820,1.01877,0.76725,0.74219,2.0,0.1,397.1953740119934
14820,1.02114,0.76965,0.74219,3.0,0.1,400.66051387786865
15210,0.86645,0.61294,0.8125,2.0,0.1,412.6942949295044
15990,0.89747,0.64923,0.80469,2.0,0.01,428.2713358402252
16380,0.77431,0.5319,0.84375,2.0,0.01,442.35180044174194
16770,0.94724,0.7104,0.77344,2.0,0.01,454.0659523010254
17550,0.68287,0.45686,0.88281,2.0,0.01,469.68579840660095
17940,0.66875,0.44771,0.875,1.0,0.01,483.6211311817169
